Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name	sample_name
zr28333_21_trimmed_1.fastq.gz	SEM_41_S58.18.fa	0.0026	0.0054	97.53	0.029	94.81-97.68	0.029	0.03-0.06	1	1.014	209/15803	86.98	6	SEM_41_S58.18_SEM_41_S58_scaffold_33	zr28333_21
zr28333_32_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811279__bin.3.fa	29.6877	39.4728	99.02	117.0	NA-NA	HIGH	NA-NA	117	119.308	10018/13589	99.02	27	NODE_1_length_274429_cov_22.9992_ID_7781	zr28333_32
zr28333_32_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859379__bin.8.fa	26.8965	18.2677	99.16	106.0	NA-NA	HIGH	NA-NA	106	106.163	5258/6826	99.16	38	NODE_3_length_161229_cov_37.0000_ID_62026	zr28333_32
zr28333_32_trimmed_1.fastq.gz	GCF_009913915.1_ASM991391v1_genomic.fa	17.5081	15.401	99.62	69.0	NA-NA	HIGH	NA-NA	69	67.579	7878/8865	99.62	0	GCF_009913915.1_ASM991391v1_genomic_NZ_CP028251.1 Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome	zr28333_32
zr28333_32_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_425__bin.9.fa	6.851	5.4452	99.32	27.0	NA-NA	HIGH	NA-NA	27	25.12	6518/8063	99.32	0	NODE_1_length_598382_cov_75.9985_ID_32759	zr28333_32
zr28333_32_trimmed_1.fastq.gz	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38.fa	4.5673	3.7863	99.31	18.0	NA-NA	HIGH	NA-NA	18	16.991	6455/8010	99.31	3	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38_NZ_CP017124.1 Lactobacillus curvatus strain WiKim38, complete genome	zr28333_32
zr28333_32_trimmed_1.fastq.gz	MortensenS_xxxx__WK028-2-L-48h-03A1_S20__bin.5.fa	3.8061	2.7665	99.36	15.0	NA-NA	HIGH	NA-NA	15	15.153	6048/7379	99.36	29	WK028-2-L-48h-03A1_S20_k141_3165	zr28333_32
zr28333_32_trimmed_1.fastq.gz	LeechJ_xxxx__AF66__bin.10.fa	3.2922	3.3118	99.01	12.975	NA-NA	HIGH	NA-NA	12	12.975	7237/9849	99.01	9	AF66_k141_123	zr28333_32
zr28333_32_trimmed_1.fastq.gz	LeechJ_2020__ERS3967691__bin.13.fa	2.2968	1.913	97.71	9.052	NA-NA	HIGH	NA-NA	9	9.052	4021/8251	97.71	198	ERS3967691_k141_96	zr28333_32
zr28333_32_trimmed_1.fastq.gz	EBC_134.5.fa	2.0147	5.3527	98.19	7.94	NA-NA	HIGH	NA-NA	6	7.94	14945/26324	98.19	4104	EBC_134.5_EBC_134_scaffold_561	zr28333_32
zr28333_32_trimmed_1.fastq.gz	XieM_2019__SAMC044639__bin.32.fa	0.9562	1.8737	99.39	3.768	NA-NA	HIGH	NA-NA	3	3.768	16436/19857	99.39	2	SAMC044639_k141_719	zr28333_32
zr28333_32_trimmed_1.fastq.gz	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101.fa	0.9067	1.1109	98.94	3.573	NA-NA	HIGH	NA-NA	3	3.573	8783/12230	98.94	20	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101_NZ_WOTS01000010.1 Enterococcus lactis strain CICC 24101 NODE_10_length_82300_cov_4.602353, whole genome shotgun sequence	zr28333_32
zr28333_32_trimmed_1.fastq.gz	ODFM-BA-A-0027-003_Lactobacillus_sakei_WiKim0072.fa	0.7937	0.6893	98.94	3.128	NA-NA	HIGH	NA-NA	3	3.128	6132/8532	98.94	202	ODFM-BA-A-0027-003_Lactobacillus_sakei_WiKim0072_NZ_CP025136.1 Lactobacillus sakei strain WiKim0072 chromosome, complete genome	zr28333_32
zr28333_32_trimmed_1.fastq.gz	GCF_004771075.1_ASM477107v1_genomic.fa	0.2114	0.2002	98.44	0.833	98.30-98.61	0.833	0.78-0.88	1	1.684	3280/9278	96.7	5	GCF_004771075.1_ASM477107v1_genomic_NZ_CP027563.1 Weissella confusa strain VTT E-133279 chromosome, complete genome	zr28333_32
zr28333_32_trimmed_1.fastq.gz	EBC_082.15.fa	0.0972	0.1955	97.73	0.383	97.52-97.94	0.383	0.35-0.41	1	1.209	3198/20483	94.19	31	EBC_082.15_EBC_082_scaffold_602	zr28333_32
zr28333_32_trimmed_1.fastq.gz	WolfeBE_2014__932_Robiola_due_Latte__bin.1.fa	0.0443	0.1061	99.51	0.175	99.21-99.81	0.175	0.16-0.19	1	1.093	3332/24183	93.81	0	932_Robiola_due_Latte_k119_35	zr28333_32
zr28333_32_trimmed_1.fastq.gz	LeechJ_xxxx__AF73__bin.2.fa	0.025	0.046	97.51	0.098	96.69-98.34	0.098	0.08-0.13	1	1.079	798/18586	90.34	96	AF73_k141_59	zr28333_32
zr28333_32_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859377__bin.10.fa	0.0243	0.028	97.15	0.096	96.02-98.34	0.096	0.06-0.13	1	1.177	440/11722	89.95	8	NODE_8_length_174488_cov_60.9499_ID_127332	zr28333_32
zr28333_32_trimmed_1.fastq.gz	LeechJ_xxxx__AF15__bin.4.fa	0.0208	0.0334	97.91	0.082	96.70-99.24	0.082	0.05-0.12	1	1.115	652/15952	90.2	23	AF15_k141_25	zr28333_32
zr28333_35_trimmed_1.fastq.gz	MortensenS_xxxx__WK002-1-L-48h-01F6_S30__bin.6.fa	51.2754	32.2602	99.9	105.0	NA-NA	HIGH	NA-NA	105	103.702	7557/7783	99.9	0	WK002-1-L-48h-01F6_S30_k141_2565	zr28333_35
zr28333_35_trimmed_1.fastq.gz	EBC_082.15.fa	29.7886	49.7451	98.6	61.0	NA-NA	HIGH	NA-NA	61	55.378	13236/20483	98.6	30	EBC_082.15_EBC_082_scaffold_602	zr28333_35
zr28333_35_trimmed_1.fastq.gz	MAG_45.fa	12.6968	11.5381	99.68	26.0	NA-NA	HIGH	NA-NA	26	25.335	9825/10848	99.68	0	MAG_45_0	zr28333_35
zr28333_35_trimmed_1.fastq.gz	LeechJ_xxxx__AF66__bin.10.fa	2.3794	1.9884	97.4	4.872	NA-NA	HIGH	NA-NA	5	4.872	4349/9849	97.4	1	AF66_k141_123	zr28333_35
zr28333_35_trimmed_1.fastq.gz	FontanaF_2023__SRR20746834__bin.2.fa	1.6652	1.6434	98.26	3.41	NA-NA	HIGH	NA-NA	3	3.41	6930/11938	98.26	320	NODE_15_length_59385_cov_11.2996_ID_3067	zr28333_35
zr28333_35_trimmed_1.fastq.gz	GCF_001885995.1_ASM188599v1_genomic.fa	0.7014	0.5782	97.56	1.436	97.46-97.68	1.436	1.33-1.51	2	1.995	3635/10141	96.74	171	GCF_001885995.1_ASM188599v1_genomic_NZ_JXKT01000001.1 Enterococcus italicus DSM 15952 Scaffold1, whole genome shotgun sequence	zr28333_35
zr28333_35_trimmed_1.fastq.gz	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101.fa	0.4546	0.4627	99.24	0.931	99.13-99.39	0.931	0.87-0.97	1	1.722	5952/12230	97.7	18	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101_NZ_WOTS01000010.1 Enterococcus lactis strain CICC 24101 NODE_10_length_82300_cov_4.602353, whole genome shotgun sequence	zr28333_35
zr28333_35_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859377__bin.10.fa	0.3254	0.3119	99.14	0.666	98.98-99.33	0.666	0.61-0.70	1	1.673	4434/11722	96.91	112	NODE_8_length_174488_cov_60.9499_ID_127332	zr28333_35
zr28333_35_trimmed_1.fastq.gz	DuR_2020__DRS139333__bin.13.fa	0.2076	0.9056	98.6	0.425	98.49-98.71	0.425	0.41-0.44	1	1.229	11442/51035	95.29	61	DRS139333_k141_32	zr28333_35
zr28333_35_trimmed_1.fastq.gz	YulandiA_2020__SRS6115052__bin.21.fa	0.1692	0.1115	98.45	0.347	98.06-98.81	0.347	0.30-0.39	1	1.193	1439/7955	94.63	9	SRS6115052_k141_129	zr28333_35
zr28333_35_trimmed_1.fastq.gz	P.1_bin.1.fa	0.127	0.2035	95.74	0.26	95.21-96.21	0.260	0.22-0.31	1	1.146	1252/19536	91.52	130	P.1_bin.1_k77_21174	zr28333_35
zr28333_35_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602153__bin.4.fa	0.0406	0.0579	98.52	0.083	97.60-99.40	0.083	0.06-0.11	1	1.068	885/17572	90.81	0	NODE_1_length_695767_cov_46.0000_ID_85857	zr28333_35
zr28333_35_trimmed_1.fastq.gz	LeechJ_xxxx__AF52__bin.1.fa	0.0325	0.0489	98.03	0.067	96.84-99.03	0.067	0.04-0.10	1	1.057	627/17995	89.74	2	AF52_k141_89	zr28333_35
zr28333_35_trimmed_1.fastq.gz	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38.fa	0.0283	0.0195	96.36	0.058	93.89-97.35	0.058	0.04-0.12	1	1.007	148/8010	87.92	3	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38_NZ_CP017124.1 Lactobacillus curvatus strain WiKim38, complete genome	zr28333_35
zr28333_35_trimmed_1.fastq.gz	XieM_2019__SAMC044639__bin.32.fa	0.0264	0.043	99.18	0.054	98.06-100.40	0.054	0.04-0.07	1	1.008	869/19857	90.4	0	SAMC044639_k141_719	zr28333_35
zr28333_35_trimmed_1.fastq.gz	LimaC_2020__SRR9640350__bin.12.fa	0.0231	0.0297	97.31	0.047	95.39-99.37	0.047	0.02-0.08	1	1.061	309/15488	88.14	3	NODE_7_length_94694_cov_8.8202_ID_19916	zr28333_35
zr28333_35_trimmed_1.fastq.gz	LeechJ_xxxx__AF15__bin.4.fa	0.0219	0.0293	99.26	0.045	97.97-101.09	0.045	0.03-0.07	1	1.101	566/15952	89.79	17	AF15_k141_25	zr28333_35
zr28333_35_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859379__bin.8.fa	0.0187	0.0105	98.5	0.038	95.53-99.14	0.038	0.03-0.09	1	1.006	162/6826	88.63	14	NODE_3_length_161229_cov_37.0000_ID_62026	zr28333_35
zr28333_35_trimmed_1.fastq.gz	DeFilippisF_xxxx__DF_9__bin.12.fa	0.0177	0.0123	98.31	0.036	95.32-98.98	0.036	0.03-0.09	1	1.018	169/8084	88.27	0	DF_9_k141_14	zr28333_35
zr28333_36_trimmed_1.fastq.gz	LeechJ_xxxx__AF66__bin.10.fa	56.3041	34.8608	98.29	64.0	NA-NA	HIGH	NA-NA	64	55.596	5777/9849	98.29	5	AF66_k141_123	zr28333_36
zr28333_36_trimmed_1.fastq.gz	EBC_134.5.fa	37.8293	61.8617	96.59	43.0	NA-NA	HIGH	NA-NA	43	36.725	8978/26324	96.59	3393	EBC_134.5_EBC_134_scaffold_561	zr28333_36
zr28333_36_trimmed_1.fastq.gz	MAG_107.fa	3.8871	1.3028	99.41	4.418	NA-NA	HIGH	NA-NA	4	4.418	4551/5466	99.41	0	MAG_107_0	zr28333_36
zr28333_36_trimmed_1.fastq.gz	LeechJ_xxxx__AF15__bin.4.fa	1.7324	1.7151	98.98	1.969	98.88-99.03	1.969	1.87-2.18	2	3.079	10000/15952	98.5	882	AF15_k141_25	zr28333_36
zr28333_36_trimmed_1.fastq.gz	XieM_2019__SAMC044639__bin.32.fa	0.1926	0.2324	98.89	0.219	98.61-99.24	0.219	0.19-0.24	1	1.117	2761/19857	93.83	0	SAMC044639_k141_719	zr28333_36
zr28333_36_trimmed_1.fastq.gz	MASTER_WP4_CSIC_2__P2603__bin.2.fa	0.0546	0.0272	95.82	0.062	93.35-96.93	0.062	0.04-0.14	1	1.03	133/8308	87.51	0	P2603_k141_86142	zr28333_36
zr28333_25_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859379__bin.8.fa	51.301	50.2167	99.58	247.0	NA-NA	HIGH	NA-NA	247	225.535	5993/6826	99.58	1	NODE_3_length_161229_cov_37.0000_ID_62026	zr28333_25
zr28333_25_trimmed_1.fastq.gz	LeechJ_xxxx__AF66__bin.13.fa	35.7237	28.2425	99.59	172.0	NA-NA	HIGH	NA-NA	172	141.45	4953/5623	99.59	0	AF66_k141_253	zr28333_25
zr28333_25_trimmed_1.fastq.gz	MAG_45.fa	4.1539	6.5487	99.58	20.0	NA-NA	HIGH	NA-NA	20	19.294	9515/10848	99.58	13	MAG_45_0	zr28333_25
zr28333_25_trimmed_1.fastq.gz	YulandiA_2020__SRS6115052__bin.21.fa	2.5265	2.8883	99.28	12.164	NA-NA	HIGH	NA-NA	12	12.164	6357/7955	99.28	22	SRS6115052_k141_129	zr28333_25
zr28333_25_trimmed_1.fastq.gz	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38.fa	1.1925	1.4248	99.17	5.742	NA-NA	HIGH	NA-NA	5	5.742	6192/8010	99.17	2	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38_NZ_CP017124.1 Lactobacillus curvatus strain WiKim38, complete genome	zr28333_25
zr28333_25_trimmed_1.fastq.gz	EBC_082.15.fa	1.0194	2.9532	98.9	4.908	NA-NA	HIGH	NA-NA	4	4.908	14530/20483	98.9	197	EBC_082.15_EBC_082_scaffold_602	zr28333_25
zr28333_25_trimmed_1.fastq.gz	FontanaF_2023__SRR20746834__bin.2.fa	0.8087	1.3845	98.29	3.894	NA-NA	HIGH	NA-NA	4	3.894	6989/11938	98.29	415	NODE_15_length_59385_cov_11.2996_ID_3067	zr28333_25
zr28333_25_trimmed_1.fastq.gz	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101.fa	0.7838	1.384	97.99	3.774	NA-NA	HIGH	NA-NA	3	3.774	6514/12230	97.99	2975	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101_NZ_WOTS01000010.1 Enterococcus lactis strain CICC 24101 NODE_10_length_82300_cov_4.602353, whole genome shotgun sequence	zr28333_25
zr28333_25_trimmed_1.fastq.gz	LandisEA_2021__SRS5653333__bin.1.fa	0.41	0.6253	98.56	1.974	98.42-98.63	1.974	1.85-2.26	2	2.499	5834/10617	98.09	18	SRS5653333_k141_170	zr28333_25
